,year,population,gdp,co2,cement_co2,cumulative_co2,co2_per_capita,co2_per_gdp,gas_co2,oil_co2,temperature_change_from_co2,temp,pred,pred_low,pred_high
0,1881,55051460.0,346030039040.0,218.221,0.0,3048.4080000000004,6.087999999999999,1.062,0.0,11.079999999999998,0.015,-0.09,-0.28436077651562197,-0.3546224934194333,-0.21409905961181064
1,1882,56244507.0,367393402880.0,243.524,0.0,3291.932,6.484,1.091,0.165,12.15,0.016,-0.11,-0.28434413130020847,-0.3546058482040198,-0.21408241439639714
2,1883,57464506.0,377354526720.0,262.89300000000003,0.0,3554.825,6.92,1.14,0.381,9.215,0.016,-0.18,-0.2838469198528945,-0.35410863675670584,-0.21358520294908317
3,1884,58711420.0,384142856192.0,276.60699999999997,0.0,3831.431,7.0440000000000005,1.158,1.172,9.347,0.017,-0.29,-0.28370094205283836,-0.3539626589566497,-0.21343922514902702
4,1885,59985847.0,387364663296.0,281.582,0.0,4113.014,7.088,1.174,3.715,8.368,0.018,-0.34,-0.28376920904059644,-0.35403092594440777,-0.2135074921367851
5,1886,61288400.0,398729746432.0,297.081,0.0,4410.095,7.27,1.195,7.676,10.985,0.018,-0.32,-0.28375192752288636,-0.3540136444266977,-0.21349021061907503
6,1887,62619705.0,416232699904.0,317.16799999999995,0.001,4727.262,7.513999999999999,1.209,11.787,11.043000000000001,0.019,-0.37,-0.2840927266469667,-0.35435444355077805,-0.2138310097431554
7,1888,63980402.0,414740256768.0,384.735,0.001,5111.998,8.731,1.423,16.774,10.802,0.02,-0.18,-0.2842042201650882,-0.3544659370688995,-0.21394250326127684
8,1889,98682140.0,482757298176.0,346.157,0.001,5458.155,7.884,1.249,12.227,13.842,0.023,-0.11,-0.28686655467505084,-0.3571282715788622,-0.2166048377712395
9,1890,100407065.0,486656071680.0,412.047,0.001,5870.200999999999,8.737,1.399,11.688,18.108,0.023,-0.36,-0.2858339705205374,-0.3560956874243487,-0.21557225361672605
10,1891,102096203.0,506126620672.0,439.355,0.001,6309.556,9.342,1.488,8.947,21.599,0.024999999999999998,-0.23,-0.2852063574386008,-0.3554680743424121,-0.21494464053478946
11,1892,103767949.0,551319779328.0,461.962,0.001,6771.518,9.418,1.413,7.775,20.005,0.026,-0.28,-0.2846567041946816,-0.3549184210984929,-0.21439498729087025
12,1893,105431353.0,529109876736.0,465.959,0.001,7237.476000000001,9.350999999999999,1.4849999999999999,7.288,19.322,0.027,-0.32,-0.28356796950794994,-0.35382968641176127,-0.2133062526041386
13,1894,107138217.0,517849284608.0,437.149,0.001,7674.625,8.797,1.43,6.698,19.631999999999998,0.028,-0.32,-0.2826478482710538,-0.35290956517486516,-0.2123861313672425
14,1895,108900536.0,571984801792.0,492.34299999999996,0.001,8166.969,9.464,1.44,7.042,21.422,0.028,-0.24,-0.28199886178279276,-0.3522605786866041,-0.21173714487898143
15,1896,110653725.0,563214307328.0,494.237,0.001,8661.206,9.501,1.478,6.848,24.787000000000003,0.028999999999999998,-0.11,-0.2810087364441097,-0.351270453347921,-0.21074701954029834
16,1897,112456446.0,611157958656.0,514.496,0.001,9175.703,9.746,1.445,7.288,24.698999999999998,0.03,-0.11,-0.280590087522153,-0.3508518044259643,-0.21032837061834164
17,1898,114286486.0,622963402752.0,559.5450000000001,0.001,9735.248,10.181000000000001,1.498,8.46,22.878999999999998,0.031,-0.28,-0.2798220265155221,-0.35008374341933346,-0.2095603096117108
18,1899,116198614.0,675488071680.0,639.937,0.001,10375.185,11.164,1.551,10.904,23.306,0.032,-0.18,-0.27940942357019605,-0.3496711404740074,-0.20914770666638471
19,1900,120243741.0,695016886528.0,678.6400000000001,0.001,11054.533,11.764,1.67,11.542,25.839,0.034,-0.08,-0.27880871551145925,-0.3490704324152706,-0.20854699860764792
20,1901,122277998.0,764997175296.0,738.13,0.002,11792.661,12.29,1.622,12.861,29.378,0.035,-0.16,-0.2781348804686671,-0.3483965973724784,-0.20787316356485575
21,1902,124354811.0,772449329664.0,780.387,0.002,12573.048,12.608,1.6390000000000002,13.692,36.483,0.036000000000000004,-0.28,-0.27669386002522,-0.34695557692903134,-0.20643214312140867
22,1903,126457356.0,808599204480.0,912.7560000000001,0.003,13485.805,14.249,1.829,14.524,42.873,0.037000000000000005,-0.37,-0.2751625818796255,-0.34542429878343683,-0.20490086497581417
23,1904,128578435.0,800504309248.0,901.624,0.003,14387.427,14.002,1.846,15.162,50.101,0.037000000000000005,-0.48,-0.2728904681674531,-0.34315218507126444,-0.20262875126364177
24,1905,130718198.0,855771603456.0,1007.249,0.004,15394.677,15.123000000000001,1.9,17.166,57.755,0.038000000000000006,-0.26,-0.2714565536808952,-0.34171827058470655,-0.20119483677708389
25,1906,132876964.0,946135878272.0,1058.016,0.004,16452.694,15.707,1.8639999999999999,19.016,54.352000000000004,0.04,-0.23,-0.27052174578970056,-0.3407834626935119,-0.20026002888588923
26,1907,135071589.0,960288759296.0,1227.8190000000002,0.005,17680.513,17.531,2.099,19.866,71.528,0.041999999999999996,-0.39,-0.2682689424945667,-0.338530659398378,-0.19800722559075534
27,1908,142692650.0,912870840064.0,1091.073,0.116,18985.574,18.101,2.6719999999999997,19.665,76.951,0.043,-0.43,-0.2651592771970797,-0.33542099410089105,-0.19489756029326838
28,1909,144895406.0,1008379085568.0,1204.4499999999998,0.116,20190.024,19.106,2.64,23.508,78.94800000000001,0.045,-0.49,-0.2641720398821689,-0.33443375678598025,-0.19391032297835759
29,1910,147034154.0,1018321884160.0,1311.8790000000001,0.135,21501.902,20.259,2.766,24.901,89.64,0.046,-0.44,-0.261396185741397,-0.33165790264520834,-0.19113446883758567
30,1911,146342388.0,1043509671936.0,1300.2659999999998,0.148,22800.561,19.904,2.629,25.087,94.418,0.046,-0.44,-0.2580730086689049,-0.32833472557271626,-0.1878112917650936
31,1912,151090377.0,1087269203456.0,1388.535,0.17600000000000002,24190.704999999998,21.250999999999998,2.747,27.495,94.65599999999999,0.048,-0.36,-0.25607996921045584,-0.32634168611426717,-0.1858182523066445
32,1913,157335051.0,1145335974400.0,1492.23,0.202,25684.25,22.835,2.887,28.458,112.741,0.049999999999999996,-0.34,-0.25383975319114493,-0.32410147009495627,-0.1835780362873336
33,1914,154980684.0,1045034944512.0,1364.952,0.14700000000000002,27047.663,20.765,2.807,28.946,120.68100000000001,0.051,-0.15,-0.24941855170709704,-0.31968026861090837,-0.1791568348032857
34,1915,156962792.0,1068711597056.0,1413.569,0.161,28461.233,20.846,2.766,30.741,126.477,0.052,-0.14,-0.24654164682838842,-0.31680336373219975,-0.17627992992457708
35,1916,158904450.0,1192952832512.0,1564.625,0.181,30025.856,22.061,2.7560000000000002,36.834,140.0,0.053,-0.36,-0.2448242004026227,-0.31508591730643404,-0.17456248349881137
36,1917,162582624.0,1160713397760.0,1694.344,0.14800000000000002,31720.199,19.688000000000002,2.344,38.882,153.638,0.055,-0.46,-0.24115975187466362,-0.311421468778475,-0.1708980349708523
37,1918,164611787.0,1243033919744.0,1778.188,0.11900000000000001,33498.386,21.277,2.524,35.259,164.49699999999999,0.056,-0.3,-0.23704082438513524,-0.3073025412889466,-0.1667791074813239
38,1919,166762576.0,1262487182592.0,1517.3670000000002,0.12400000000000001,35015.756,19.457,2.354,36.482,186.40400000000002,0.057,-0.28,-0.2337704690452682,-0.30403218594907955,-0.16350875214145685
39,1920,169057582.0,1246180979968.0,1780.3570000000002,0.14900000000000002,36796.109000000004,22.296,2.749,39.71,238.53400000000002,0.059,-0.27,-0.23008954095484818,-0.3003512578586595,-0.15982782405103685
40,1921,181893726.0,1242293700864.0,1463.499,0.13,38262.911,18.578,2.3760000000000003,33.104,254.17000000000002,0.063,-0.19,-0.2273905576946275,-0.2976522745984388,-0.15712884079081615
41,1922,180289429.0,1290310651136.0,1483.6280000000002,0.193,39743.0,19.801000000000002,2.524,38.098,291.381,0.064,-0.28,-0.22475891050237548,-0.29502062740618684,-0.15449719359856415
