,year,co2,gdp
0,1950,0.084,9421400064.0
1,1951,0.092,9692279808.0
2,1952,0.092,10017325056.0
3,1953,0.106,10630519808.0
4,1954,0.106,10866360320.0
5,1955,0.154,11078185984.0
6,1956,0.183,11581236224.0
7,1957,0.293,11578973184.0
8,1958,0.33,12238841856.0
9,1959,0.385,12579874816.0
10,1960,0.414,13033253888.0
11,1961,0.491,13146287104.0
12,1962,0.689,13367633920.0
13,1963,0.707,13630298112.0
14,1964,0.839,13870503936.0
15,1965,1.007,14187419648.0
16,1966,1.091,14325264384.0
17,1967,1.282,14734025728.0
18,1968,1.223,15254250496.0
19,1969,0.941,15493193728.0
20,1970,1.67,15812232192.0
21,1971,1.894,15770513408.0
22,1972,1.53,13170552832.0
23,1973,1.635,13568630784.0
24,1974,1.913,14309107712.0
25,1975,2.121,15177767936.0
26,1976,1.981,16023605248.0
27,1977,2.384,15207360512.0
28,1978,2.153,16337829888.0
29,1979,2.233,15913788416.0
30,1980,1.756,15329836032.0
31,1981,1.978,15645343744.0
32,1982,2.095,15980409856.0
33,1983,2.52,16755333120.0
34,1984,2.822,17072152576.0
35,1985,3.501,17108480000.0
36,1986,3.134,17641345024.0
37,1987,3.114,15810816000.0
38,1988,2.857,14499068928.0
39,1989,2.765,13489497088.0
40,1990,2.024,13065984000.0
41,1991,1.914,12047362048.0
42,1992,1.482,12677538816.0
43,1993,1.487,9834580992.0
44,1994,1.454,7919857152.0
45,1995,1.417,12307525632.0
46,1996,1.37,12070125568.0
47,1997,1.304,11850752000.0
48,1998,1.279,11692172288.0
49,1999,1.092,11517317120.0
50,2000,1.047,11283792896.0
51,2001,1.069,11021273088.0
52,2002,1.341,18804871168.0
53,2003,1.56,21074343936.0
54,2004,1.237,22332571648.0
55,2005,1.89,25397688320.0
56,2006,2.159,28704401408.0
57,2007,2.8,34507530240.0
58,2008,4.254,36561043456.0
59,2009,6.392,44358721536.0
60,2010,8.365,47399424000.0
61,2011,11.838,53326336000.0
62,2012,10.035,59166900224.0
63,2013,9.251,62993698816.0
64,2014,9.17,64346107904.0
65,2015,9.791,62783393792.0
66,2016,9.068,64297426944.0
67,2017,9.868,68752801792.0
68,2018,10.818,67594969088.0
69,1950,0.297,1958540928.0
70,1951,0.403,2089362304.0
71,1952,0.374,2138255872.0
72,1953,0.414,2282159616.0
73,1954,0.502,2415072768.0
74,1955,0.663,2620052736.0
75,1956,0.839,2728373248.0
76,1957,1.506,2986969600.0
77,1958,1.201,3216275456.0
78,1959,1.443,3458495232.0
79,1960,2.022,3754262784.0
80,1961,2.279,3909912832.0
81,1962,2.462,4163081984.0
82,1963,2.081,4433270272.0
83,1964,2.015,4719963648.0
84,1965,2.172,5029350912.0
85,1966,2.55,5354307584.0
86,1967,2.677,5706156544.0
87,1968,3.069,6073281536.0
88,1969,3.241,6468810240.0
89,1970,3.739,6888218624.0
90,1971,4.348,7337364480.0
91,1972,5.638,7811524608.0
92,1973,5.286,8317288448.0
93,1974,4.342,8539399680.0
94,1975,4.591,8761643008.0
95,1976,4.947,8996929536.0
96,1977,5.717,9235805184.0
97,1978,6.491,9474237440.0
98,1979,7.584,9727295488.0
99,1980,5.171,9993752576.0
100,1981,7.34,10248711168.0
101,1982,7.308,10517106688.0
102,1983,7.631,10795983872.0
103,1984,7.826,11080088576.0
104,1985,7.882,11371456512.0
105,1986,8.058,11669744640.0
106,1987,7.447,11975300096.0
107,1988,7.329,12296424448.0
108,1989,8.986,12617018368.0
109,1990,5.521,12947849216.0
110,1991,4.29,9375844352.0
111,1992,2.517,8745680896.0
112,1993,2.338,9636359168.0
113,1994,1.924,10596127744.0
114,1995,2.089,11600734208.0
115,1996,2.018,12727380992.0
116,1997,1.543,11396507648.0
117,1998,1.755,12466707456.0
118,1999,2.986,14151858176.0
119,2000,3.025,15214264320.0
120,2001,3.221,16563844096.0
121,2002,3.748,17408065536.0
122,2003,4.303,18465497088.0
123,2004,4.177,19587880960.0
124,2005,4.261,20781076480.0
125,2006,3.911,22124285952.0
126,2007,3.949,23574646784.0
127,2008,4.397,25476937728.0
128,2009,4.407,26471389184.0
129,2010,4.784,27598268416.0
130,2011,5.315,28452651008.0
131,2012,4.85,28855377920.0
132,2013,5.287,29142642688.0
133,2014,6.0,29675640832.0
134,2015,4.712,30444531712.0
135,2016,4.632,31481821184.0
136,2017,5.564,32678760448.0
137,2018,4.984,34009112576.0
138,1950,3.784,19350554624.0
139,1951,4.131,19480383488.0
140,1952,3.889,20349999104.0
141,1953,3.999,20798191616.0
142,1954,4.152,22019014656.0
143,1955,4.607,22665783296.0
144,1956,4.995,24891404288.0
145,1957,5.537,27721039872.0
146,1958,5.214,28728694784.0
147,1959,5.657,33993146368.0
148,1960,6.151,36306128896.0
149,1961,6.056,31896877056.0
150,1962,5.661,25126164480.0
151,1963,5.419,31766970368.0
152,1964,5.643,33433417728.0
153,1965,6.589,35661975552.0
154,1966,8.421,33932634112.0
155,1967,8.432,37094768640.0
156,1968,9.05,41423888384.0
157,1969,11.263,45387460608.0
158,1970,15.059,49945669632.0
159,1971,18.65,45701218304.0
160,1972,28.323,55293906944.0
161,1973,38.277,57097850880.0
162,1974,31.877,60577882112.0
163,1975,32.001,64883814400.0
164,1976,39.131,69150105600.0
165,1977,41.845,75438030848.0
166,1978,62.455,85103919104.0
167,1979,45.546,92753895424.0
168,1980,66.416,94481653760.0
169,1981,46.342,96860520448.0
170,1982,39.173,103073660928.0
171,1983,52.504,108430385152.0
172,1984,70.947,114406670336.0
173,1985,72.609,120364212224.0
174,1986,76.08,119145037824.0
175,1987,83.883,118321217536.0
176,1988,83.708,115821715456.0
177,1989,79.808,119762436096.0
178,1990,76.738,117843181568.0
179,1991,78.807,121105154048.0
180,1992,79.883,127982673920.0
181,1993,81.944,130275762176.0
182,1994,86.147,134279872512.0
183,1995,94.981,145054695424.0
184,1996,96.786,156579102720.0
185,1997,87.005,164644454400.0
186,1998,106.621,179962871808.0
187,1999,91.668,193179811840.0
188,2000,82.221,208554147840.0
189,2001,83.78,223420301312.0
190,2002,89.407,245360885760.0
191,2003,91.048,273568645120.0
192,2004,87.853,296773615616.0
193,2005,106.473,326854475776.0
194,2006,100.203,345705349120.0
195,2007,108.402,371665207296.0
196,2008,109.032,395658559488.0
197,2009,120.185,418247671808.0
198,2010,117.813,450705883136.0
199,2011,119.808,482034778112.0
200,2012,135.674,497923358720.0
201,2013,140.786,511887736832.0
202,2014,151.283,531308085248.0
203,2015,160.087,551519125504.0
204,2016,158.748,574696128512.0
205,2017,166.411,582167232512.0
206,2018,173.912,590317551616.0
207,1950,0.187,6905243648.0
208,1951,0.249,7156857856.0
209,1952,0.311,7427326976.0
210,1953,0.275,7707442688.0
211,1954,0.348,7494946304.0
212,1955,0.414,8094498304.0
213,1956,0.502,7944564736.0
214,1957,0.619,8703076352.0
215,1958,0.593,9169780736.0
216,1959,0.619,9207761920.0
217,1960,0.549,9580296192.0
218,1961,0.454,10574287872.0
