,Année,Saisons,Températures
0,1880,Hiver,-0.14
1,1880,Eté,-0.12
2,1881,Hiver,-0.03
3,1881,Eté,-0.05
4,1882,Hiver,0.08
5,1882,Eté,-0.06
6,1883,Hiver,-0.06
7,1883,Eté,-0.05
8,1884,Hiver,-0.07
9,1884,Eté,-0.19
10,1885,Hiver,-0.19
11,1885,Eté,-0.33
12,1886,Hiver,-0.15
13,1886,Eté,-0.24
14,1887,Hiver,-0.36
15,1887,Eté,-0.24
16,1888,Hiver,-0.19
17,1888,Eté,-0.21
18,1889,Hiver,0.08
19,1889,Eté,-0.14
20,1890,Hiver,-0.19
21,1890,Eté,-0.35
22,1891,Hiver,-0.21
23,1891,Eté,-0.25
24,1892,Hiver,-0.07
25,1892,Eté,-0.29
26,1893,Hiver,-0.14
27,1893,Eté,-0.21
28,1894,Hiver,-0.14
29,1894,Eté,-0.31
30,1895,Hiver,-0.11
31,1895,Eté,-0.17
32,1896,Hiver,-0.07
33,1896,Eté,-0.12
34,1897,Hiver,0.09
35,1897,Eté,-0.12
36,1898,Hiver,-0.13
37,1898,Eté,-0.33
38,1899,Hiver,-0.18
39,1899,Eté,-0.19
40,1900,Hiver,-0.05
41,1900,Eté,-0.1
42,1901,Hiver,-0.11
43,1901,Eté,-0.26
44,1902,Hiver,-0.17
45,1902,Eté,-0.26
46,1903,Hiver,-0.23
47,1903,Eté,-0.35
48,1904,Hiver,-0.52
49,1904,Eté,-0.46
50,1905,Hiver,-0.32
51,1905,Eté,-0.25
52,1906,Hiver,-0.04
53,1906,Eté,-0.24
54,1907,Hiver,-0.31
55,1907,Eté,-0.31
56,1908,Hiver,-0.36
57,1908,Eté,-0.39
58,1909,Hiver,-0.47
59,1909,Eté,-0.44
60,1910,Hiver,-0.5
61,1910,Eté,-0.33
62,1911,Hiver,-0.54
63,1911,Eté,-0.53
64,1912,Hiver,-0.13
65,1912,Eté,-0.32
66,1913,Hiver,-0.26
67,1913,Eté,-0.27
68,1914,Hiver,-0.11
69,1914,Eté,-0.15
70,1915,Hiver,-0.04
71,1915,Eté,-0.24
72,1916,Hiver,-0.16
73,1916,Eté,-0.37
74,1917,Hiver,-0.58
75,1917,Eté,-0.22
76,1918,Hiver,-0.27
77,1918,Eté,-0.28
78,1919,Hiver,-0.02
79,1919,Eté,-0.32
80,1920,Hiver,-0.29
81,1920,Eté,-0.34
82,1921,Hiver,-0.26
83,1921,Eté,-0.29
84,1922,Hiver,-0.25
85,1922,Eté,-0.35
86,1923,Hiver,-0.31
87,1923,Eté,-0.35
88,1924,Hiver,-0.2
89,1924,Eté,-0.38
90,1925,Hiver,-0.48
91,1925,Eté,-0.29
92,1926,Hiver,-0.1
93,1926,Eté,-0.28
94,1927,Hiver,-0.27
95,1927,Eté,-0.34
96,1928,Hiver,-0.27
97,1928,Eté,-0.33
98,1929,Hiver,-0.33
99,1929,Eté,-0.43
100,1930,Hiver,-0.41
101,1930,Eté,-0.33
102,1931,Hiver,-0.17
103,1931,Eté,-0.2
104,1932,Hiver,-0.15
105,1932,Eté,-0.37
106,1933,Hiver,-0.28
107,1933,Eté,-0.33
108,1934,Hiver,-0.35
109,1934,Eté,-0.19
110,1935,Hiver,-0.26
111,1935,Eté,-0.38
112,1936,Hiver,-0.22
113,1936,Eté,-0.35
114,1937,Hiver,-0.19
115,1937,Eté,-0.19
116,1938,Hiver,-0.18
117,1938,Eté,-0.23
118,1939,Hiver,-0.14
119,1939,Eté,-0.16
120,1940,Hiver,0.08
121,1940,Eté,0.09
122,1941,Hiver,0.22
123,1941,Eté,0.14
124,1942,Hiver,0.2
125,1942,Eté,0.0
126,1943,Hiver,-0.01
127,1943,Eté,0.02
128,1944,Hiver,0.07
129,1944,Eté,0.2
130,1945,Hiver,0.09
131,1945,Eté,0.07
132,1946,Hiver,0.01
133,1946,Eté,-0.3
134,1947,Hiver,-0.11
135,1947,Eté,-0.06
136,1948,Hiver,-0.18
137,1948,Eté,-0.21
138,1949,Hiver,-0.12
139,1949,Eté,-0.23
140,1950,Hiver,-0.24
141,1950,Eté,-0.06
142,1951,Hiver,-0.32
143,1951,Eté,-0.1
144,1952,Hiver,0.03
145,1952,Eté,-0.08
146,1953,Hiver,-0.06
147,1953,Eté,-0.09
148,1954,Hiver,-0.18
149,1954,Eté,-0.32
150,1955,Hiver,-0.21
151,1955,Eté,-0.15
152,1956,Hiver,-0.23
153,1956,Eté,-0.12
154,1957,Hiver,-0.03
155,1957,Eté,0.09
156,1958,Hiver,0.11
157,1958,Eté,-0.12
158,1959,Hiver,-0.08
159,1959,Eté,-0.05
160,1960,Hiver,-0.14
161,1960,Eté,-0.16
162,1961,Hiver,0.01
163,1961,Eté,-0.01
164,1962,Hiver,-0.13
165,1962,Eté,0.02
166,1963,Hiver,-0.14
167,1963,Eté,0.15
168,1964,Hiver,-0.13
169,1964,Eté,-0.05
170,1965,Hiver,-0.15
171,1965,Eté,0.03
172,1966,Hiver,-0.1
173,1966,Eté,-0.1
174,1967,Hiver,-0.01
175,1967,Eté,-0.05
176,1968,Hiver,-0.16
177,1968,Eté,-0.13
178,1969,Hiver,0.13
179,1969,Eté,0.01
180,1970,Hiver,0.18
181,1970,Eté,-0.05
182,1971,Hiver,0.01
183,1971,Eté,-0.03
184,1972,Hiver,0.07
185,1972,Eté,0.22
186,1973,Hiver,0.35
187,1973,Eté,0.17
188,1974,Hiver,-0.08
