,Année,Lattitudes,Températures
0,1880,44N-64N,-0.52
1,1880,24N-44N,-0.3
2,1880,EQU-24N,-0.14
3,1881,44N-64N,-0.49
4,1881,24N-44N,-0.21
5,1881,EQU-24N,0.11
6,1882,44N-64N,-0.31
7,1882,24N-44N,-0.16
8,1882,EQU-24N,-0.04
9,1883,44N-64N,-0.59
10,1883,24N-44N,-0.29
11,1883,EQU-24N,-0.17
12,1884,44N-64N,-0.67
13,1884,24N-44N,-0.49
14,1884,EQU-24N,-0.12
15,1885,44N-64N,-0.7
16,1885,24N-44N,-0.48
17,1885,EQU-24N,-0.07
18,1886,44N-64N,-0.53
19,1886,24N-44N,-0.42
20,1886,EQU-24N,-0.22
21,1887,44N-64N,-0.54
22,1887,24N-44N,-0.31
23,1887,EQU-24N,-0.3
24,1888,44N-64N,-0.45
25,1888,24N-44N,-0.26
26,1888,EQU-24N,0.06
27,1889,44N-64N,-0.25
28,1889,24N-44N,-0.29
29,1889,EQU-24N,0.01
30,1890,44N-64N,-0.59
31,1890,24N-44N,-0.29
32,1890,EQU-24N,-0.27
33,1891,44N-64N,-0.37
34,1891,24N-44N,-0.38
35,1891,EQU-24N,0.0
36,1892,44N-64N,-0.69
37,1892,24N-44N,-0.18
38,1892,EQU-24N,-0.33
39,1893,44N-64N,-0.56
40,1893,24N-44N,-0.47
41,1893,EQU-24N,-0.42
42,1894,44N-64N,-0.35
43,1894,24N-44N,-0.19
44,1894,EQU-24N,-0.5
45,1895,44N-64N,-0.55
46,1895,24N-44N,-0.28
47,1895,EQU-24N,-0.15
48,1896,44N-64N,-0.39
49,1896,24N-44N,-0.23
50,1896,EQU-24N,0.07
51,1897,44N-64N,-0.48
52,1897,24N-44N,-0.25
53,1897,EQU-24N,0.16
54,1898,44N-64N,-0.26
55,1898,24N-44N,-0.24
56,1898,EQU-24N,-0.16
57,1899,44N-64N,-0.12
58,1899,24N-44N,-0.16
59,1899,EQU-24N,-0.15
60,1900,44N-64N,-0.18
61,1900,24N-44N,-0.16
62,1900,EQU-24N,0.1
63,1901,44N-64N,-0.12
64,1901,24N-44N,-0.16
65,1901,EQU-24N,-0.05
66,1902,44N-64N,-0.52
67,1902,24N-44N,-0.33
68,1902,EQU-24N,-0.01
69,1903,44N-64N,-0.44
70,1903,24N-44N,-0.57
71,1903,EQU-24N,-0.23
72,1904,44N-64N,-0.61
73,1904,24N-44N,-0.56
74,1904,EQU-24N,-0.43
75,1905,44N-64N,-0.24
76,1905,24N-44N,-0.63
77,1905,EQU-24N,-0.1
78,1906,44N-64N,-0.08
79,1906,24N-44N,-0.4
80,1906,EQU-24N,-0.2
81,1907,44N-64N,-0.74
82,1907,24N-44N,-0.53
83,1907,EQU-24N,-0.29
84,1908,44N-64N,-0.56
85,1908,24N-44N,-0.52
86,1908,EQU-24N,-0.41
87,1909,44N-64N,-0.63
88,1909,24N-44N,-0.45
89,1909,EQU-24N,-0.43
90,1910,44N-64N,-0.25
91,1910,24N-44N,-0.5
92,1910,EQU-24N,-0.47
93,1911,44N-64N,-0.43
94,1911,24N-44N,-0.48
95,1911,EQU-24N,-0.41
96,1912,44N-64N,-0.8
97,1912,24N-44N,-0.51
98,1912,EQU-24N,-0.26
99,1913,44N-64N,-0.34
100,1913,24N-44N,-0.52
101,1913,EQU-24N,-0.38
102,1914,44N-64N,-0.17
103,1914,24N-44N,-0.29
104,1914,EQU-24N,-0.1
105,1915,44N-64N,-0.17
106,1915,24N-44N,-0.2
107,1915,EQU-24N,0.0
108,1916,44N-64N,-0.55
